,Drug1_ID
0,DB00518
1,DB01035
2,DB01006
3,DB00674
4,DB06800
5,DB00921
6,DB00321
7,DB00305
8,DB04272
9,DB00424
10,DB04918
11,DB01575
12,DB09256
13,DB04896
14,DB00561
15,DB01256
16,DB06636
17,DB00310
18,DB01278
19,DB00434
20,DB00015
21,DB06203
22,DB01043
23,DB06441
24,DB00243
25,DB00976
26,DB00295
27,DB00381
28,DB00330
29,DB00594
30,DB00661
31,DB09045
32,DB00224
33,DB09292
34,DB01224
35,DB08868
36,DB09302
37,DB00501
38,DB00753
39,DB00678
40,DB09271
41,DB00204
42,DB00499
43,DB00264
44,DB05266
45,DB06273
46,DB09320
47,DB00300
48,DB06709
49,DB00679
50,DB01356
51,DB06268
52,DB01002
53,DB01203
54,DB00744
55,DB00497
56,DB00710
57,DB01414
58,DB09053
59,DB09076
60,DB09267
61,DB09070
62,DB00897
63,DB00662
64,DB01326
65,DB01075
66,DB00851
67,DB08811
68,DB05578
69,DB04899
70,DB01097
71,DB00435
72,DB00795
73,DB01377
74,DB00862
75,DB00407
76,DB04865
77,DB00345
78,DB01363
79,DB00433
80,DB06795
81,DB08887
82,DB00896
83,DB00033
84,DB06207
85,DB09113
86,DB01397
87,DB06764
88,DB01576
89,DB08911
90,DB00996
91,DB06708
92,DB00723
93,DB00384
94,DB00794
95,DB06791
96,DB00955
97,DB00732
98,DB00718
99,DB01093
100,DB01579
101,DB00532
102,DB00748
103,DB08875
104,DB00271
105,DB00418
106,DB01240
107,DB09034
108,DB00099
109,DB00790
110,DB00495
111,DB01196
112,DB03754
113,DB00973
114,DB01210
115,DB00990
116,DB01007
117,DB06710
118,DB00234
119,DB01339
120,DB00242
121,DB00549
122,DB00540
123,DB06590
124,DB00630
125,DB04843
126,DB00327
127,DB09570
128,DB00363
129,DB00859
130,DB00130
131,DB08827
132,DB00634
133,DB01556
134,DB09276
135,DB00888
136,DB00908
137,DB00209
138,DB00436
139,DB00695
140,DB00823
141,DB01288
142,DB01601
143,DB01309
144,DB00140
145,DB01365
146,DB00970
147,DB08898
148,DB01331
149,DB01156
150,DB09107
151,DB01247
152,DB09322
153,DB00342
154,DB00588
155,DB05039
156,DB00396
157,DB00635
158,DB01392
159,DB00624
160,DB00911
161,DB01409
162,DB06274
163,DB00207
164,DB09280
165,DB00080
166,DB01036
167,DB00231
168,DB03615
169,DB01656
170,DB00627
171,DB00450
172,DB00541
173,DB00572
174,DB01061
175,DB09300
176,DB00798
177,DB01267
178,DB00126
179,DB01553
180,DB00915
181,DB05294
182,DB01362
183,DB06681
184,DB08903
185,DB00754
186,DB01148
187,DB00975
188,DB09294
189,DB01039
190,DB00705
191,DB00934
192,DB09058
193,DB00671
194,DB00621
195,DB06772
196,DB00836
197,DB00712
198,DB00070
199,DB08900
200,DB00409
201,DB01623
202,DB00620
203,DB00556
204,DB00722
205,DB06761
206,DB00633
207,DB01185
208,DB01017
209,DB08904
210,DB00454
211,DB01589
212,DB11126
213,DB00779
214,DB08881
215,DB06700
216,DB00879
217,DB00750
218,DB00185
219,DB06674
220,DB01145
221,DB10829
222,DB01136
223,DB09227
224,DB06213
225,DB01212
226,DB00935
227,DB09323
228,DB01214
229,DB06782
230,DB05812
231,DB00626
232,DB00030
233,DB01218
234,DB00762
235,DB00814
236,DB00570
237,DB01244
238,DB01065
239,DB06706
240,DB00963
241,DB01041
242,DB08895
243,DB01103
244,DB00796
245,DB01359
246,DB08914
247,DB06415
248,DB01595
249,DB05259
250,DB00233
251,DB11354
252,DB08819
253,DB00121
254,DB00590
255,DB09057
256,DB00205
257,DB06144
258,DB00782
259,DB01274
260,DB00591
261,DB00526
262,DB00756
263,DB06616
264,DB06695
265,DB06729
266,DB00730
267,DB00865
268,DB01415
269,DB00289
270,DB01015
271,DB01624
272,DB00649
273,DB00279
274,DB00465
275,DB01063
276,DB08871
277,DB01087
278,DB01432
279,DB09555
280,DB04884
281,DB00347
282,DB00707
283,DB00380
284,DB00048
285,DB00985
286,DB06206
287,DB00060
288,DB00457
289,DB09277
290,DB03880
291,DB11133
292,DB01008
293,DB00623
294,DB00494
295,DB01600
296,DB00604
297,DB01127
298,DB09291
299,DB00984
300,DB01411
301,DB09068
302,DB00968
303,DB00994
