,Drug1_ID,Drug2_ID,label
0,DB00862,DB00966,1
1,DB01242,DB08893,1
2,DB01151,DB08883,1
3,DB01235,DB01275,1
4,DB00018,DB00333,1
5,DB00201,DB01609,1
6,DB00712,DB01418,1
7,DB01576,DB04842,1
8,DB01609,DB06212,1
9,DB01232,DB09291,1
10,DB00214,DB01174,1
11,DB00104,DB00908,1
12,DB00569,DB01109,1
13,DB01222,DB09063,1
14,DB00898,DB01589,1
15,DB01248,DB06688,1
16,DB00484,DB00881,1
17,DB00396,DB00682,1
18,DB00054,DB00605,1
19,DB00186,DB00572,1
20,DB01026,DB08865,1
21,DB00999,DB01114,1
22,DB00041,DB00381,1
23,DB01167,DB01215,1
24,DB00072,DB00305,1
25,DB01095,DB01393,1
26,DB00983,DB01223,1
27,DB00865,DB01623,1
28,DB00211,DB00316,1
29,DB00366,DB01189,1
30,DB00997,DB04905,1
31,DB00177,DB09401,1
32,DB00603,DB01418,1
33,DB01268,DB01394,1
34,DB00623,DB00656,1
35,DB00834,DB09039,1
36,DB00104,DB08881,1
37,DB00675,DB05812,1
38,DB00401,DB09059,1
39,DB00625,DB00956,1
40,DB00624,DB00834,1
41,DB00070,DB01222,1
42,DB01104,DB01296,1
43,DB00443,DB00672,1
44,DB00390,DB00986,1
45,DB01207,DB06228,1
46,DB00618,DB09146,1
47,DB00252,DB01182,1
48,DB01166,DB06636,1
49,DB00108,DB01234,1
50,DB09118,DB09128,1
51,DB00413,DB00972,1
52,DB08873,DB08881,1
53,DB00397,DB00983,1
54,DB00503,DB00758,1
55,DB00243,DB08889,1
56,DB00503,DB00813,1
57,DB00991,DB01254,1
58,DB01151,DB09072,1
59,DB00367,DB01124,1
60,DB00238,DB01319,1
61,DB00182,DB00816,1
62,DB00502,DB01367,1
63,DB01207,DB08976,1
64,DB00257,DB01100,1
65,DB00418,DB01054,1
66,DB01233,DB01238,1
67,DB01184,DB09065,1
68,DB00482,DB06779,1
69,DB00501,DB01142,1
70,DB00337,DB01181,1
71,DB00046,DB00957,1
72,DB00366,DB00470,1
73,DB00816,DB00871,1
74,DB01224,DB04876,1
75,DB01021,DB06203,1
76,DB00582,DB00622,1
77,DB00193,DB05521,1
78,DB01100,DB01319,1
79,DB00623,DB09076,1
80,DB01029,DB08935,1
81,DB01259,DB04905,1
82,DB00252,DB01026,1
83,DB01167,DB09102,1
84,DB01151,DB05271,1
85,DB00046,DB09043,1
86,DB00767,DB09068,1
87,DB00470,DB00752,1
88,DB00628,DB00653,1
89,DB04905,DB08931,1
90,DB04938,DB09063,1
91,DB00451,DB09407,1
92,DB00741,DB01306,1
93,DB00960,DB01119,1
94,DB00737,DB06204,1
95,DB00195,DB00237,1
96,DB00798,DB01163,1
97,DB00401,DB00648,1
98,DB01323,DB06789,1
99,DB01223,DB01558,1
100,DB00784,DB00790,1
101,DB00673,DB08912,1
102,DB01038,DB01577,1
103,DB00310,DB00391,1
104,DB01023,DB01235,1
105,DB00898,DB01100,1
106,DB00334,DB01553,1
107,DB00408,DB00952,1
108,DB00571,DB08881,1
109,DB00657,DB01145,1
110,DB00031,DB06779,1
111,DB00508,DB00514,1
112,DB00188,DB09118,1
113,DB00834,DB01115,1
114,DB00796,DB01119,1
115,DB00752,DB01276,1
116,DB00208,DB06271,1
117,DB00687,DB06335,1
118,DB00196,DB00338,1
119,DB00794,DB00921,1
120,DB00029,DB06605,1
121,DB04946,DB09072,1
