,Entity_ID
0,DB07621
1,Q9Y4U1
2,DB01819
3,DB00633
4,P15328
5,DB07075
6,DB07076
7,P35348
8,Q96Q83
9,DB01072
10,DB00612
11,O43613
12,DB04369
13,DB00045
14,DB01124
15,P33981
16,DB08005
17,Q96EN8
18,DB01388
19,DB00986
20,P35228
21,DB04644
22,DB02162
23,DB04716
24,DB01056
25,P24298
26,O60706
27,P68104
28,DB02562
29,DB03010
30,P28331
31,DB05483
32,DB04010
33,DB08007
34,DB02638
35,DB00221
36,DB01672
37,DB01436
38,DB04997
39,O60218
40,O14561
41,O60911
42,DB07217
43,DB01548
44,DB01355
45,DB00035
46,DB00204
47,DB01863
48,DB01576
49,P62829
50,DB00389
51,DB03466
52,P10827
53,DB01236
54,DB04282
55,DB07979
56,DB06993
57,P00439
58,P17538
59,DB00142
60,P30411
61,DB06914
62,DB02236
63,DB01144
64,DB04847
65,DB00119
66,DB01347
67,P01189
68,P21549
69,DB03881
70,DB03403
71,DB06716
72,DB01571
73,DB04310
74,P01031
75,DB08806
76,P01589
77,Q16762
78,DB05651
79,DB07633
80,DB04906
81,DB04521
82,DB06731
83,DB01830
84,Q14541
85,DB00932
86,P06576
87,DB04677
88,P13639
89,Q8NER1
90,DB04630
91,DB01012
92,DB07364
93,DB02272
94,P03989
95,DB00949
96,DB03959
97,P06881
98,DB02857
99,DB07071
100,P15085
101,DB06196
102,DB00264
103,Q9HAN9
104,DB06836
105,P09455
106,DB02103
107,P05107
108,DB01246
109,DB04642
110,DB03935
111,DB02141
112,O43766
113,DB00522
114,DB07046
115,DB02457
116,O95479
117,O15382
118,Q9Y2D1
119,DB09016
120,DB07034
121,DB07378
122,DB04672
123,DB02712
124,DB06688
125,P13569
126,DB00643
127,O75306
128,DB07766
129,P62837
130,DB02338
131,DB02234
132,DB00492
133,P53582
134,P60568
135,Q07817
136,DB07204
137,DB08468
138,DB01215
139,DB07672
140,DB06693
141,DB06840
142,DB02161
143,P20273
144,DB08213
145,DB02108
146,Q9NPA1
147,P02452
148,DB07315
149,O60656
150,DB01184
151,DB01062
152,DB05395
153,P01584
154,DB08063
155,DB03115
156,P05062
157,DB00750
158,DB05787
159,DB01191
160,DB07643
161,Q14697
162,DB07947
163,P04406
164,P40429
165,Q07954
166,DB05446
167,Q15111
168,DB01059
169,P22309
170,Q08209
171,P61457
172,DB06317
173,DB02104
174,DB07543
175,DB00190
176,DB03940
177,DB00050
178,DB08537
179,DB04101
180,DB04394
181,DB08678
182,DB08526
183,Q96NX5
184,DB09078
185,DB01069
186,DB04371
187,DB06228
188,DB07024
189,DB06901
190,DB04938
191,P16455
192,P28566
193,DB02761
194,O43246
195,DB05094
196,DB06404
197,DB00788
198,DB01791
199,DB04648
200,Q99497
201,DB01093
202,DB03226
203,DB01472
204,P02794
205,DB00722
206,DB01198
207,DB00628
208,DB00217
209,DB05159
210,P17181
211,DB05913
212,DB04599
213,DB03725
214,DB01077
215,P18846
216,DB01173
217,P53778
218,DB08259
219,DB01834
220,P00451
221,DB04871
222,P16870
223,DB04166
224,DB01625
225,DB03632
226,DB02089
227,DB08248
228,DB08750
229,DB07508
230,DB07421
231,DB01820
232,DB01105
233,DB01378
234,DB01195
235,DB02303
236,DB07078
237,DB07379
238,P15291
239,DB01276
240,DB06945
241,DB08768
242,Q13200
243,Q8N1C3
244,DB08133
245,DB05831
246,DB08805
247,DB01366
248,Q13554
249,DB01251
250,DB03663
251,DB07111
252,DB00033
253,DB01002
254,DB04288
255,DB04978
256,DB04204
257,DB02726
258,P54819
259,P48067
260,DB01141
261,DB00436
262,DB04276
263,DB01297
264,Q92731
265,DB03154
266,DB06414
267,DB00212
268,P23434
269,P27824
270,DB00911
271,DB07778
272,P01130
273,DB06817
274,P02708
275,DB08073
276,DB02624
277,P51178
278,P17600
279,DB02670
280,P20248
281,DB07531
282,DB01426
283,DB07735
284,DB07687
285,DB07009
286,DB02210
287,O00217
288,DB00036
289,O14746
290,DB08094
291,Q9BUF5
292,DB07383
293,P49069
294,DB01033
295,DB02080
296,DB04195
297,DB03013
298,DB07141
299,DB00721
300,DB08605
301,DB07816
302,DB00558
303,DB08777
304,Q15102
305,P08631
306,DB01866
307,DB03691
308,DB02308
309,DB08897
310,DB08677
311,DB04194
312,DB03380
313,Q8WX39
314,DB02076
315,DB08918
316,DB04020
317,P04278
318,DB03088
319,DB06912
320,DB00043
321,DB04469
322,DB03955
323,Q13555
324,P35610
325,DB07606
326,DB01096
327,P15531
328,P08243
329,DB04959
330,DB00092
331,P07339
332,DB07688
333,DB06795
334,P05981
335,O43424
336,DB08549
337,Q9NSA0
338,DB02685
339,DB01463
340,Q00987
341,DB07157
342,DB07008
343,P22891
344,DB04957
345,DB05846
346,DB01129
347,DB00432
348,DB08883
349,P50225
350,DB07202
351,Q9NTG7
352,DB03626
353,DB01092
354,DB03182
355,DB00604
356,DB01384
357,DB07691
358,DB08673
359,P10632
360,DB08409
361,Q9UQL6
362,DB03384
363,DB05223
364,P23378
365,Q9UQD0
366,DB04537
367,DB03893
368,DB02058
369,DB08609
370,DB00578
371,DB00313
372,P03905
373,Q15759
374,O95477
375,P10145
376,Q16654
377,DB07744
378,DB01244
379,DB07698
380,DB07054
381,DB00969
382,DB07226
383,DB01123
384,DB05018
385,DB07670
386,P36873
387,P05787
388,DB03585
389,DB00839
390,P21918
391,DB02447
392,Q8WU03
393,Q5XXA6
394,DB05766
395,P41146
