,Entity_ID
0,1
1,2
2,C1384403
3,9
4,10
5,C4316787
6,12
7,13
8,C2675914
9,15
10,16
11,18
12,19
13,21
14,22
15,23
16,24
17,25
18,26
19,28
20,29
21,C0040028
22,31
23,32
24,33
25,34
26,35
27,36
28,37
29,38
30,39
31,40
32,41
33,43
34,C2713443
35,131118
36,47
37,48
38,50
39,51
40,52
41,53
42,54
43,55
44,58
45,59
46,60
47,C1855995
48,70
49,71
50,72
51,C1861194
52,C2745948
53,81
54,C0342544
55,86
56,87
57,88
58,90
59,92
60,93
61,94
62,95
63,98
64,100
65,101
66,102
67,103
68,104
69,105
70,131177
71,107
72,108
73,109
74,111
75,112
76,113
77,114
78,116
79,117
80,118
81,119
82,120
83,C0751640
84,C3151867
85,123
86,124
87,125
88,126
89,127
90,128
91,130
92,131
93,132
94,133
95,134
96,135
97,136
98,140
99,142
100,143
101,147
102,148
103,C1956125
104,150
105,151
106,152
107,153
108,154
109,155
110,156
111,157
112,158
113,159
114,C1864389
115,C0017919
116,163
117,165
118,166
119,C1510455
120,173
121,174
122,175
123,176
124,177
125,178
126,181
127,182
128,183
129,185
130,186
131,189
132,190
133,191
134,C0393759
135,196
136,197
137,C1970456
138,199
139,203
140,204
141,205
142,207
143,208
144,210
145,211
146,212
147,213
148,214
149,215
150,216
151,217
152,218
153,219
154,220
155,221
156,222
157,C0027720
158,224
159,225
160,226
161,C3809039
162,229
163,231
164,C2931213
165,C3888088
166,238
167,239
168,240
169,241
170,242
171,C3554355
172,246
173,249
174,251
175,257
176,258
177,259
178,C0030312
179,265
180,266
181,267
182,268
183,269
184,270
185,271
186,272
187,C1384600
188,274
189,275
190,283
191,284
192,285
193,286
194,287
195,288
196,C2677637
197,290
198,291
199,C2752081
200,293
201,301
202,302
203,C3808012
204,131377
205,306
206,307
207,308
208,309
209,310
210,311
211,C2676833
212,313
213,316
214,317
215,318
216,321
217,323
218,324
219,325
220,326
221,328
222,329
223,330
224,331
225,332
226,334
227,335
228,336
229,337
230,338
231,339
232,131408
233,341
234,343
235,344
236,345
237,346
238,347
239,348
240,350
241,351
242,353
243,354
244,355
245,356
246,357
247,358
248,359
249,360
250,361
251,362
252,363
253,364
254,366
255,367
256,368
257,369
258,372
259,374
260,375
261,131450
262,383
263,384
264,387
265,388
266,389
267,392
268,393
269,395
270,396
271,397
272,C0752107
273,401
274,402
275,405
276,406
277,408
278,409
279,410
280,411
281,412
282,415
283,416
284,C1842382
285,421
286,C0392164
287,C0220998
288,427
289,C1865819
290,429
291,430
292,C0231686
293,434
294,435
295,438
296,440
297,443
298,444
299,445
300,C2678065
301,C2677299
302,460
303,C0006261
304,462
305,463
306,C3810170
307,466
308,467
309,468
310,C0340978
311,471
312,472
313,473
314,474
315,475
316,476
317,477
318,478
319,480
320,481
321,482
322,C0265269
323,C0272080
324,486
325,487
326,488
327,489
328,490
329,491
330,492
331,131566
332,498
333,501
334,C2675440
335,506
336,C3553060
337,131583
338,C0033847
339,513
340,514
341,522
342,523
343,525
344,526
345,C3152137
346,529
347,533
348,537
349,538
350,C1859970
351,540
352,545
353,546
354,547
355,C0683303
356,549
357,551
358,552
359,553
360,554
361,C0268151
362,558
363,563
364,567
365,570
366,572
367,573
368,578
369,579
370,580
371,581
372,582
373,583
374,585
375,586
376,587
377,590
378,593
379,594
380,595
381,596
382,597
383,598
384,131669
385,C1291299
386,604
387,607
388,610
389,611
390,613
391,C1834559
392,C3151460
393,617
394,622
395,623
396,624
397,627
398,629
399,631
400,632
401,633
402,634
403,635
404,637
405,638
406,639
407,640
408,641
409,642
410,643
411,644
412,645
413,648
414,649
415,650
416,652
417,654
418,655
419,657
420,658
421,659
422,660
423,664
424,C1866094
425,667
426,668
427,669
428,672
429,673
430,C0008301
431,675
432,676
433,678
434,C2675212
435,C3280371
436,682
437,683
438,685
439,686
440,687
441,688
442,694
443,695
444,C0206735
445,699
446,701
447,706
448,708
449,710
450,712
451,713
452,714
453,715
454,716
455,717
456,718
457,C0431943
458,720
459,721
460,722
461,725
462,726
463,727
464,728
465,729
466,730
467,731
468,732
469,733
470,735
471,740
472,741
473,C2350988
474,750
475,752
476,C0311335
477,755
478,759
479,760
480,761
481,762
482,763
483,767
484,768
485,C0023891
486,771
487,773
488,774
489,775
490,776
491,C3150415
492,778
493,779
494,780
495,781
496,782
497,783
498,784
499,785
500,C0022521
501,C3281045
502,788
503,790
504,C0206157
505,C2750894
506,793
507,794
508,796
509,131870
510,799
511,800
512,801
513,C0677886
514,805
515,808
516,810
517,811
518,813
519,814
520,815
521,816
522,817
523,818
524,131890
525,821
526,822
527,823
528,824
529,825
530,826
531,827
532,829
533,831
534,832
535,833
536,834
537,835
538,836
539,837
540,840
541,841
542,842
543,843
544,844
545,845
546,846
547,847
548,C1857034
549,857
550,858
551,859
552,860
553,861
554,862
555,863
556,864
557,865
558,866
559,867
560,868
561,C0454597
562,C2717759
563,871
564,C0342642
565,873
566,875
567,883
568,885
569,886
570,887
571,889
572,890
573,891
574,131965
575,894
576,896
577,898
578,899
579,900
580,C0432283
581,902
582,C0268747
583,C0270820
584,914
585,915
586,916
587,917
588,919
589,920
590,921
591,922
592,923
593,924
594,925
595,926
596,928
597,929
598,930
599,931
600,939
601,940
602,941
603,942
604,943
605,C4225338
606,945
607,946
608,947
609,948
610,949
611,950
612,952
613,953
614,954
615,955
616,C0010324
617,958
618,959
619,960
620,C0019372
621,962
622,963
623,965
624,966
625,967
626,968
627,969
628,C1319853
629,972
630,973
631,974
632,975
633,976
634,977
635,978
636,983
637,987
638,989
639,990
640,C1835084
641,C1843807
642,994
643,995
644,996
645,998
646,999
647,1000
648,1001
649,1003
650,1004
651,1005
652,1006
653,1007
654,1008
655,1009
656,1010
657,C4225156
658,1012
659,1013
660,C0041955
661,1015
662,1016
663,1017
664,1018
665,1019
666,1020
667,1021
668,1024
669,1026
670,1027
671,1028
672,1029
673,1030
674,1031
675,1032
676,1033
677,1036
678,1040
679,1041
680,132112
681,1048
682,1050
683,1051
684,1052
685,1053
686,C3280205
687,1055
688,1056
689,1057
690,C0242497
691,1061
692,1062
693,1063
694,C4304724
695,C1739384
696,1066
697,1068
698,C4540342
699,1071
700,1072
701,1073
702,C3280899
703,1075
704,1080
705,1081
706,1082
707,132158
708,1103
709,1105
710,1106
711,1107
712,1108
713,1109
714,1111
715,1113
716,1114
717,1116
718,1118
719,1119
720,1120
721,1121
722,C0016658
723,1123
724,1124
725,1128
726,1129
727,1130
728,1131
729,1132
730,1133
731,1134
732,1135
733,1136
734,1137
735,1138
736,1139
737,1140
738,1141
739,1142
740,1143
741,1144
742,1145
743,1146
744,1147
745,1149
746,1152
747,1153
748,1154
749,1155
750,1158
751,1161
752,C0751793
753,C1835933
754,1164
755,C3160858
756,1174
757,1175
758,1176
759,C1333991
760,1180
761,1181
762,1182
763,1183
764,1184
765,1186
766,1187
767,1188
768,C3810200
769,1191
770,1192
771,1193
772,1200
773,1201
774,1203
775,1207
776,1209
777,1212
778,1213
779,1215
780,C3489571
781,C0268609
782,C3281084
783,1230
784,1232
785,1233
786,1234
787,1235
788,1236
789,1237
790,1240
791,1241
792,1244
793,C2674838
794,132320
795,1258
796,1259
797,1260
798,1261
799,132332
800,1265
801,1266
802,1267
803,1268
804,1269
805,1270
806,1272
807,C1257796
808,1277
809,1278
810,1280
811,1281
812,1282
813,1284
814,1285
815,1286
816,1287
817,1288
818,1289
819,1290
820,1291
821,1292
822,1293
823,1294
824,1295
825,1296
826,1297
827,1298
828,1299
829,1300
830,1301
831,1302
832,1303
833,C1690006
834,1305
835,1306
836,1308
837,1310
838,1311
839,1312
840,C1844862
841,1314
