,Gene_ID,Disease_ID,label
0,1,C0019209,1
1,2,C0002395,1
2,2,C0007102,1
3,2,C0009375,1
4,2,C0011570,1
5,2,C0011581,1
6,2,C0019202,1
7,2,C0023890,1
8,2,C0023893,1
9,2,C0206669,1
10,2,C0242379,1
11,2,C0276496,1
12,2,C0494463,1
13,2,C0546126,1
14,2,C0750900,1
15,2,C0750901,1
16,2,C1527352,1
17,2,C1565662,1
18,2,C2239176,1
19,2,C2609414,1
20,2,C3279661,1
21,9,C0001973,1
22,9,C0004403,1
23,9,C0005684,1
24,9,C0006826,1
25,9,C0008625,1
26,9,C0013221,1
27,9,C0027651,1
28,9,C0028796,1
29,9,C0041755,1
30,9,C0086457,1
31,9,C0086692,1
32,9,C0376358,1
33,10,C0005684,1
34,10,C0005695,1
35,10,C0011999,1
36,10,C0013182,1
37,10,C0019193,1
38,10,C0023452,1
39,10,C0023453,1
40,10,C0023903,1
41,10,C0027794,1
42,10,C0027806,1
43,10,C0028796,1
44,10,C0033578,1
45,10,C0086457,1
46,10,C0152234,1
47,10,C0152426,1
48,10,C0266453,1
49,10,C0344479,1
50,10,C0345904,1
51,10,C0345967,1
52,10,C0678222,1
53,10,C0702169,1
54,10,C0860207,1
55,10,C1257931,1
56,10,C1956346,1
57,10,C4277682,1
58,12,C0023794,1
59,12,C0033578,1
60,12,C0033975,1
61,12,C0349204,1
62,12,C0376358,1
63,13,C0023893,1
64,15,C0005587,1
65,15,C0011570,1
66,15,C0011581,1
67,15,C0393770,1
68,15,C0494410,1
69,15,C0751760,1
70,16,C0004138,1
71,16,C2750090,1
72,16,C3714756,1
73,16,C4225361,1
74,18,C0004352,1
75,18,C0022333,1
76,18,C0023380,1
77,18,C0026825,1
78,18,C0026827,1
79,18,C0033922,1
80,18,C0034933,1
81,18,C0036572,1
82,18,C0151572,1
83,18,C0151888,1
84,18,C0151889,1
85,18,C0234146,1
86,18,C0234533,1
87,18,C0234535,1
88,18,C0270824,1
89,18,C0270844,1
90,18,C0277839,1
91,18,C0278211,1
92,18,C0342708,1
93,18,C0422850,1
94,18,C0422855,1
95,18,C0427201,1
96,18,C0494475,1
97,18,C0543888,1
98,18,C0558845,1
99,18,C0558846,1
100,18,C0558847,1
101,18,C0576612,1
102,18,C0679465,1
103,18,C0751056,1
104,18,C0751110,1
105,18,C0751123,1
106,18,C0751330,1
107,18,C0751456,1
108,18,C0751468,1
109,18,C0751469,1
110,18,C0751470,1
111,18,C0751472,1
112,18,C0751473,1
113,18,C0751474,1
114,18,C0751475,1
115,18,C0751476,1
116,18,C0751478,1
117,18,C0751481,1
118,18,C0751494,1
119,18,C0751495,1
120,18,C2267233,1
121,18,C3495874,1
122,18,C3714756,1
123,18,C4048158,1
124,18,C4316903,1
125,18,C4317109,1
126,18,C4505436,1
127,19,C0004153,1
128,19,C0009402,1
129,19,C0009404,1
130,19,C0020445,1
131,19,C0022661,1
132,19,C0031117,1
133,19,C0036341,1
134,19,C0039292,1
135,19,C0342898,1
136,19,C0473527,1
137,19,C0751544,1
138,19,C1527249,1
139,19,C1563937,1
140,19,C1704429,1
141,19,C2931838,1
142,19,C3276941,1
143,19,C3711531,1
144,21,C0006142,1
145,21,C0009404,1
146,21,C0020192,1
147,21,C0020542,1
148,21,C0034069,1
149,21,C0035220,1
150,21,C0852283,1
151,21,C1527249,1
152,22,C0002896,1
153,22,C0004134,1
154,22,C0004138,1
155,22,C0158995,1
156,22,C0240991,1
157,22,C0427190,1
158,22,C0750940,1
159,22,C0751651,1
160,22,C1845028,1
161,22,C3714756,1
162,23,C0020517,1
163,23,C0032285,1
164,23,C0032300,1
165,23,C0235874,1
166,23,C0887898,1
167,23,C3714636,1
168,24,C0006142,1
169,24,C0008924,1
170,24,C0009402,1
171,24,C0035334,1
172,24,C0242383,1
173,24,C1527249,1
174,24,C1855465,1
175,24,C1858806,1
176,24,C1866422,1
177,24,C3495438,1
178,24,C4282180,1
179,25,C0006142,1
180,25,C0006413,1
181,25,C0015544,1
182,25,C0018798,1
183,25,C0023452,1
184,25,C0025202,1
185,25,C0027659,1
186,25,C0032927,1
187,25,C0151491,1
188,25,C0158995,1
189,25,C0205641,1
190,25,C0205642,1
191,25,C0205644,1
192,25,C0205645,1
193,25,C0282313,1
194,25,C0345904,1
195,25,C0345958,1
196,25,C0546837,1
197,25,C0596263,1
198,25,C0678222,1
199,25,C1257931,1
200,25,C1292769,1
201,25,C1458155,1
202,25,C1961099,1
203,25,C1961102,1
204,25,C4539857,1
205,26,C0018800,1
206,26,C1383860,1
207,28,C0001973,1
208,28,C0010054,1
209,28,C0010474,1
210,28,C0030297,1
211,28,C0038454,1
212,28,C0085762,1
213,28,C0346647,1
214,28,C0525045,1
215,28,C0677886,1
216,28,C0751956,1
217,28,C1956346,1
218,29,C0033578,1
219,31,C0018801,1
220,31,C0023212,1
221,31,C0235527,1
222,31,C0268603,1
223,31,C1961112,1
224,31,C2239176,1
225,32,C0920563,1
226,33,C0220711,1
227,33,C0220994,1
228,34,C0003886,1
229,34,C0006142,1
230,34,C0035410,1
231,34,C0220710,1
232,34,C0220994,1
233,34,C0520459,1
234,34,C3714756,1
235,35,C0003886,1
236,35,C0220994,1
237,35,C0342783,1
238,35,C3714756,1
239,36,C3714756,1
240,37,C0003130,1
241,37,C0003886,1
242,37,C0035410,1
243,37,C0220994,1
244,37,C0242184,1
245,37,C0700292,1
246,37,C3714756,1
247,38,C0022661,1
248,38,C0036572,1
249,38,C0234533,1
250,38,C0234535,1
251,38,C0270824,1
252,38,C0270846,1
253,38,C0271713,1
254,38,C0422850,1
255,38,C0422852,1
256,38,C0422853,1
257,38,C0422854,1
258,38,C0422855,1
259,38,C0751056,1
260,38,C0751123,1
261,38,C0751496,1
262,38,C3714756,1
263,38,C4048158,1
264,38,C4316903,1
265,38,C4317109,1
266,38,C4317123,1
267,39,C0342735,1
268,40,C0004352,1
269,40,C0021368,1
270,41,C0007786,1
271,41,C0021368,1
272,41,C0917798,1
273,43,C0002726,1
274,43,C0007134,1
275,43,C0022333,1
276,43,C0023893,1
277,43,C0025261,1
278,43,C0027765,1
279,43,C0032343,1
280,43,C0033578,1
281,43,C0036572,1
282,43,C0040822,1
283,43,C0040827,1
284,43,C0041755,1
285,43,C0086468,1
286,43,C0149840,1
287,43,C0149958,1
288,43,C0233794,1
289,43,C0234370,1
290,43,C0234371,1
291,43,C0234372,1
292,43,C0234373,1
293,43,C0234374,1
294,43,C0234375,1
295,43,C0234376,1
296,43,C0234377,1
297,43,C0234378,1
298,43,C0234379,1
299,43,C0234533,1
300,43,C0234535,1
301,43,C0235081,1
302,43,C0235082,1
303,43,C0236733,1
304,43,C0236804,1
305,43,C0236807,1
306,43,C0270824,1
307,43,C0270844,1
308,43,C0276496,1
309,43,C0279702,1
310,43,C0353676,1
311,43,C0376358,1
312,43,C0422850,1
313,43,C0422853,1
314,43,C0494475,1
315,43,C0546126,1
316,43,C0700359,1
317,43,C0750900,1
318,43,C0751056,1
319,43,C0751110,1
320,43,C0751123,1
321,43,C0751263,1
322,43,C0751293,1
323,43,C0751295,1
324,43,C0751495,1
325,43,C1266043,1
326,43,C1266044,1
327,43,C1306837,1
328,43,C1458155,1
329,43,C3494247,1
330,43,C3494248,1
331,43,C3495874,1
332,43,C4316903,1
333,43,C4317123,1
334,47,C0018801,1
335,47,C0028754,1
336,47,C1959583,1
337,47,C1961112,1
338,47,C2239176,1
339,48,C0027626,1
340,48,C0029408,1
341,48,C0086743,1
342,50,C0006142,1
343,50,C0751651,1
344,50,C2239176,1
345,50,C4225384,1
346,51,C0002152,1
347,51,C0011853,1
348,51,C0023520,1
349,51,C0038433,1
350,51,C1849678,1
351,51,C3714756,1
352,52,C0041696,1
353,54,C0020503,1
354,54,C0023893,1
355,54,C0028754,1
356,54,C0432222,1
357,54,C1842763,1
358,55,C3495559,1
359,55,C3714758,1
360,58,C0003886,1
361,58,C0007194,1
362,58,C0149721,1
363,58,C0175709,1
364,58,C0206157,1
365,58,C0410180,1
366,58,C0410207,1
367,58,C0546125,1
368,58,C0546264,1
369,58,C0699743,1
370,58,C0751336,1
371,58,C0752282,1
372,58,C0949658,1
373,58,C2750537,1
374,58,C3645536,1
375,58,C4225181,1
376,59,C0006142,1
377,59,C0007102,1
378,59,C0009375,1
379,59,C0013720,1
380,59,C0015934,1
381,59,C0017668,1
382,59,C0019189,1
383,59,C0022116,1
384,59,C0022658,1
385,59,C0023893,1
386,59,C0023895,1
387,59,C0024796,1
388,59,C0026654,1
389,59,C0027051,1
390,59,C0036421,1
391,59,C0086565,1
392,59,C0149519,1
393,59,C0239946,1
394,59,C0269102,1
395,59,C0340630,1
396,59,C0345050,1
397,59,C0520463,1
398,59,C0678222,1
399,59,C1257931,1
400,59,C1458155,1
401,59,C1619692,1
402,59,C1876165,1
403,59,C1968949,1
404,59,C2931384,1
405,59,C3151201,1
406,59,C3279690,1
407,59,C3714756,1
408,60,C0005586,1
409,60,C0007097,1
410,60,C0009363,1
411,60,C0010278,1
412,60,C0013393,1
413,60,C0013421,1
414,60,C0014859,1
415,60,C0018784,1
416,60,C0024121,1
417,60,C0024668,1
418,60,C0027626,1
419,60,C0029408,1
420,60,C0036341,1
421,60,C0151744,1
422,60,C0205697,1
423,60,C0205698,1
424,60,C0205699,1
425,60,C0242184,1
426,60,C0242379,1
427,60,C0263579,1
428,60,C0393588,1
429,60,C0700292,1
430,60,C1257925,1
431,60,C1691779,1
432,60,C1846331,1
433,60,C1855722,1
434,60,C1858042,1
435,60,C1955869,1
436,60,C2239176,1
437,60,C3714756,1
438,70,C0007194,1
439,70,C0024623,1
440,70,C0038356,1
441,70,C0264886,1
442,70,C0282313,1
443,70,C0344724,1
444,70,C0949658,1
445,70,C1527310,1
446,70,C1708349,1
447,70,C1960469,1
448,70,C2677506,1
449,70,C2748552,1
450,70,C3150681,1
451,70,C3150682,1
452,70,C4021133,1
453,71,C0001787,1
454,71,C0007097,1
455,71,C0010278,1
456,71,C0024667,1
457,71,C0024668,1
458,71,C0029459,1
459,71,C0265541,1
460,71,C0266551,1
461,71,C0376634,1
462,71,C0751406,1
463,71,C0948089,1
464,71,C1257925,1
465,71,C1855722,1
466,71,C1858172,1
467,71,C1955869,1
468,71,C3281235,1
469,71,C3714756,1
470,72,C0007102,1
471,72,C0266833,1
472,72,C1608393,1
473,72,C1835084,1
474,72,C1864996,1
475,81,C0024668,1
476,81,C0205696,1
477,81,C0205697,1
478,81,C0205698,1
479,86,C3714756,1
480,87,C0023893,1
481,87,C3554663,1
482,87,C4304021,1
483,88,C0007194,1
484,88,C0007959,1
485,88,C0264886,1
486,90,C0004114,1
487,90,C0006142,1
488,90,C0013720,1
489,90,C0016037,1
490,90,C0017638,1
491,90,C0025202,1
492,90,C0027122,1
493,90,C0205768,1
494,90,C0259783,1
495,90,C0280783,1
496,90,C0280785,1
497,90,C0334579,1
498,90,C0334580,1
499,90,C0334582,1
500,90,C0334583,1
501,90,C0338070,1
502,90,C0345050,1
503,90,C0555198,1
504,90,C0678222,1
505,90,C1257931,1
506,90,C3714756,1
507,92,C0278701,1
508,93,C0175707,1
509,93,C0265357,1
510,93,C0266642,1
511,93,C1167664,1
512,93,C3151057,1
513,93,C3178805,1
514,93,C3178806,1
515,93,C4277690,1
516,94,C0007820,1
517,94,C0020542,1
518,94,C0039445,1
519,94,C0162872,1
520,94,C1701939,1
521,94,C1832529,1
522,94,C2973725,1
523,94,C3203102,1
524,94,C3852953,1
525,95,C0006142,1
526,95,C0007134,1
527,95,C0032927,1
528,95,C0279702,1
529,95,C1266043,1
530,95,C1306837,1
531,95,C1835922,1
532,98,C2750088,1
533,100,C0020452,1
534,100,C0023893,1
535,100,C0024121,1
536,100,C0037928,1
537,100,C0042484,1
538,100,C0242379,1
539,100,C0392607,1
540,100,C1335302,1
541,100,C1863239,1
542,100,C2700553,1
543,101,C0019193,1
544,101,C1262760,1
545,101,C4277682,1
546,101,C4279912,1
547,102,C0006142,1
548,102,C0678222,1
549,102,C1321872,1
550,102,C3714534,1
551,103,C0006142,1
552,103,C0393591,1
553,103,C0406775,1
554,103,C0543888,1
555,103,C0678222,1
556,103,C0796126,1
557,103,C1257931,1
558,103,C1458155,1
559,103,C3489724,1
560,103,C3539013,1
561,103,C3714756,1
562,104,C0033975,1
563,104,C0036341,1
564,104,C1136382,1
565,105,C0013146,1
566,105,C0013170,1
567,105,C0013222,1
568,105,C0029231,1
569,105,C0038580,1
570,105,C0740858,1
571,105,C1527249,1
572,105,C4316881,1
573,107,C0038587,1
574,107,C0086189,1
575,107,C0087169,1
576,107,C0424295,1
577,107,C1857809,1
578,108,C0004096,1
579,109,C0005586,1
580,109,C0025945,1
581,109,C0028754,1
582,109,C0028756,1
583,109,C0525045,1
584,111,C0001787,1
585,111,C0001973,1
586,111,C0005612,1
587,111,C0007097,1
588,111,C0011860,1
589,111,C0016059,1
590,111,C0020538,1
591,111,C0024667,1
592,111,C0024668,1
593,111,C0029459,1
594,111,C0036529,1
595,111,C0205697,1
596,111,C0205698,1
597,111,C0205699,1
598,111,C0242698,1
599,111,C0393584,1
600,111,C0751406,1
601,111,C0878544,1
602,111,C1257925,1
603,111,C1623038,1
604,111,C1847627,1
605,111,C3714756,1
606,112,C4225385,1
607,113,C0001973,1
608,113,C0009324,1
609,113,C0011581,1
610,113,C0026998,1
611,113,C0036341,1
612,113,C0041696,1
613,113,C0087031,1
614,113,C1269683,1
615,113,C3495559,1
616,113,C3714758,1
617,114,C0005586,1
618,114,C0011570,1
619,114,C0011581,1
620,114,C0011875,1
621,114,C0025945,1
622,114,C0038587,1
623,114,C0087169,1
624,114,C0525045,1
625,114,C0751217,1
626,116,C0005586,1
627,116,C0011581,1
628,116,C0020452,1
629,116,C0026205,1
630,116,C0033141,1
631,116,C0036341,1
632,116,C0036529,1
633,116,C0042484,1
634,116,C0178824,1
635,116,C0279626,1
636,116,C0333233,1
637,116,C3887612,1
638,117,C0004096,1
639,117,C0011570,1
640,117,C0036341,1
641,118,C0020538,1
642,118,C2239176,1
643,118,C4302111,1
644,120,C0023893,1
645,120,C0149504,1
646,120,C0154659,1
647,120,C0235032,1
648,120,C0917798,1
649,120,C2751938,1
650,120,C4302111,1
651,123,C0015695,1
652,123,C0023893,1
653,123,C0024623,1
654,123,C0038356,1
655,123,C1708349,1
656,123,C2711227,1
657,124,C0001973,1
658,125,C0001969,1
659,125,C0001973,1
660,125,C0007107,1
661,125,C0007785,1
662,125,C0009402,1
663,125,C0009404,1
664,125,C0023055,1
665,125,C0028754,1
666,125,C0031347,1
667,125,C0033975,1
668,125,C0153381,1
669,125,C0153405,1
670,125,C0279626,1
671,125,C0349464,1
672,125,C0393756,1
673,125,C0546837,1
674,125,C0751011,1
675,125,C0751012,1
676,125,C1527249,1
677,126,C0001969,1
678,126,C0026640,1
679,126,C3160718,1
680,127,C0001956,1
681,127,C0023893,1
682,127,C0085762,1
683,128,C0001973,1
684,130,C0001973,1
685,131,C0001973,1
686,131,C0007107,1
687,131,C0023055,1
688,131,C0153381,1
689,131,C0153405,1
690,131,C0546837,1
691,132,C0003129,1
692,132,C0003130,1
693,132,C0008370,1
694,132,C0020796,1
695,132,C0036341,1
696,132,C0700292,1
697,132,C1112213,1
698,132,C3714756,1
699,133,C0004352,1
700,133,C0005586,1
701,133,C0017185,1
702,133,C0017658,1
703,133,C0020429,1
704,133,C0023893,1
705,133,C0030193,1
706,133,C0034189,1
707,133,C0234238,1
708,133,C0234254,1
709,133,C0458259,1
710,133,C0751211,1
711,133,C0751213,1
712,133,C0751407,1
713,133,C1719672,1
714,133,C2936719,1
715,134,C0013182,1
716,134,C0013221,1
717,134,C0020649,1
718,134,C0022116,1
719,134,C0027051,1
720,134,C0033054,1
721,134,C0036341,1
722,134,C0038525,1
723,134,C0038587,1
724,134,C0041755,1
725,134,C0086189,1
726,134,C0087169,1
727,134,C0238281,1
728,134,C0270192,1
729,134,C0472381,1
730,134,C0472383,1
731,134,C0740376,1
732,134,C0751021,1
733,134,C0751022,1
734,134,C0751530,1
735,134,C0751846,1
736,134,C0751847,1
737,134,C0751849,1
738,134,C0917805,1
739,135,C0003469,1
740,135,C0011573,1
741,135,C0011581,1
742,135,C0013182,1
743,135,C0013221,1
744,135,C0020649,1
745,135,C0021603,1
