,Protein1_ID,Protein2_ID,label
0,14,64782,1
1,27,9322,1
2,27,10152,1
3,60,60,1
4,60,1073,1
5,60,11034,1
6,71,1072,1
7,71,11034,1
8,71,11140,1
9,81,55017,1
10,81,84708,1
11,87,89,1
12,87,1965,1
13,87,9099,1
14,87,9852,1
15,87,51778,1
16,87,55017,1
17,87,58529,1
18,87,79933,1
19,88,3351,1
20,88,9499,1
21,88,11102,1
22,88,26505,1
23,88,55216,1
24,88,79778,1
25,88,285093,1
26,88,399693,1
27,88,440836,1
28,89,5318,1
29,89,6615,1
30,89,7185,1
31,89,8022,1
32,89,9499,1
33,89,55138,1
34,89,58529,1
35,89,79778,1
36,89,79933,1
37,89,84708,1
38,89,151254,1
39,89,170954,1
40,89,285093,1
41,89,440836,1
42,95,95,1
43,95,4521,1
44,104,104,1
45,104,6780,1
46,104,6895,1
47,104,8575,1
48,104,23567,1
49,104,79698,1
50,104,170082,1
51,104,391257,1
52,118,54955,1
53,152,4188,1
54,161,79719,1
55,162,4292,1
56,162,7307,1
57,162,9883,1
58,162,10667,1
59,162,53371,1
60,162,55633,1
61,162,60314,1
62,162,63971,1
63,162,80352,1
64,162,155465,1
65,162,254187,1
66,162,343930,1
67,163,408,1
68,163,7307,1
69,163,7918,1
70,163,9883,1
71,163,25959,1
72,163,53371,1
73,163,91694,1
74,163,151254,1
75,163,399693,1
76,164,79719,1
77,166,705,1
78,166,2354,1
79,166,2623,1
80,166,2997,1
81,166,3224,1
82,166,3225,1
83,166,3801,1
84,166,4089,1
85,166,4188,1
86,166,4236,1
87,166,4656,1
88,166,4665,1
89,166,5307,1
90,166,5565,1
91,166,6495,1
92,166,6626,1
93,166,6631,1
94,166,6934,1
95,166,7185,1
96,166,7205,1
97,166,7545,1
98,166,7681,1
99,166,7704,1
100,166,7716,1
101,166,8456,1
102,166,8812,1
103,166,9146,1
104,166,9533,1
105,166,10152,1
106,166,10817,1
107,166,10922,1
108,166,10933,1
109,166,22806,1
110,166,22893,1
111,166,22924,1
112,166,23281,1
113,166,23598,1
114,166,25959,1
115,166,27124,1
116,166,27158,1
117,166,30008,1
118,166,54764,1
119,166,55110,1
120,166,55138,1
121,166,55337,1
122,166,58524,1
123,166,64098,1
124,166,64927,1
125,166,79005,1
126,166,79190,1
127,166,79797,1
128,166,80256,1
129,166,80742,1
130,166,80764,1
131,166,84330,1
132,166,84619,1
133,166,84662,1
134,166,84970,1
135,166,90060,1
136,166,92345,1
137,166,114327,1
138,166,125115,1
139,166,283899,1
140,166,353323,1
141,166,386681,1
142,166,388677,1
143,189,2354,1
144,189,4188,1
145,189,8688,1
146,189,9457,1
147,189,81851,1
148,189,83899,1
149,189,375791,1
150,189,388677,1
151,190,2104,1
152,191,79078,1
153,208,5966,1
154,208,9463,1
155,208,57630,1
156,211,7728,1
157,211,9724,1
158,211,10486,1
159,211,64147,1
160,211,84460,1
161,211,150483,1
162,211,165918,1
163,211,100287171,1
164,212,54971,1
165,221,3885,1
